id,home_team_id,away_team_id,home_team_score,away_team_score,date
0021600066,1610612749,1610612754,125,107,20161103
0021600067,1610612750,1610612743,99,102,20161103
0021600068,1610612739,1610612738,128,122,20161103
0021600069,1610612744,1610612760,122,96,20161103
0021600070,1610612764,1610612737,95,92,20161104
0021600071,1610612761,1610612748,96,87,20161104
0021600072,1610612751,1610612766,95,99,20161104
0021600073,1610612741,1610612752,104,117,20161104
0021600074,1610612763,1610612746,88,99,20161104
0021600075,1610612740,1610612756,111,112,20161104
0021600076,1610612742,1610612757,95,105,20161104
0021600077,1610612762,1610612759,86,100,20161104
0021600078,1610612747,1610612744,117,97,20161104
0021600079,1610612760,1610612750,112,92,20161105
0021600080,1610612755,1610612739,101,102,20161105
0021600081,1610612753,1610612764,88,86,20161105
0021600082,1610612765,1610612743,103,86,20161105
0021600083,1610612754,1610612741,111,94,20161105
0021600084,1610612737,1610612745,112,97,20161105
0021600085,1610612749,1610612758,117,91,20161105
0021600086,1610612759,1610612746,92,116,20161105
0021600087,1610612752,1610612762,109,114,20161106
0021600088,1610612763,1610612757,94,100,20161106
0021600089,1610612761,1610612758,91,96,20161106
0021600090,1610612742,1610612749,86,75,20161106
0021600091,1610612738,1610612743,107,123,20161106
0021600092,1610612747,1610612756,119,108,20161106
0021600093,1610612755,1610612762,84,109,20161107
0021600094,1610612764,1610612745,106,114,20161107
0021600095,1610612766,1610612754,122,100,20161107
0021600096,1610612741,1610612753,112,80,20161107
0021600097,1610612760,1610612748,97,85,20161107
0021600098,1610612746,1610612765,114,82,20161107
0021600099,1610612744,1610612740,116,106,20161107
0021600100,1610612739,1610612737,106,110,20161108
0021600101,1610612751,1610612750,119,110,20161108
0021600102,1610612763,1610612743,108,107,20161108
0021600103,1610612757,1610612756,124,121,20161108
0021600104,1610612747,1610612742,97,109,20161108
0021600105,1610612758,1610612740,102,94,20161108
0021600106,1610612752,1610612751,110,96,20161109
0021600107,1610612764,1610612738,118,93,20161109
0021600108,1610612766,1610612762,104,98,20161109
0021600109,1610612753,1610612750,107,123,20161109
0021600110,1610612754,1610612755,122,115,20161109
0021600111,1610612737,1610612741,115,107,20161109
0021600112,1610612760,1610612761,102,112,20161109
0021600113,1610612756,1610612765,107,100,20161109
0021600114,1610612759,1610612745,99,101,20161109
0021600115,1610612746,1610612757,111,80,20161109
0021600116,1610612744,1610612742,116,95,20161109
0021600117,1610612749,1610612740,106,112,20161110
0021600118,1610612748,1610612741,95,98,20161110
0021600119,1610612743,1610612744,101,125,20161110
0021600120,1610612758,1610612747,91,101,20161110
0021600121,1610612755,1610612754,109,105,20161111
0021600122,1610612764,1610612739,94,105,20161111
0021600123,1610612766,1610612761,111,113,20161111
0021600124,1610612753,1610612762,74,87,20161111
0021600125,1610612738,1610612752,115,87,20161111
0021600126,1610612760,1610612746,108,110,20161111
0021600127,1610612759,1610612765,96,86,20161111
0021600128,1610612757,1610612758,122,120,20161111
0021600129,1610612740,1610612747,99,126,20161112
0021600130,1610612754,1610612738,99,105,20161112
0021600131,1610612761,1610612752,118,107,20161112
0021600132,1610612737,1610612755,117,96,20161112
0021600133,1610612741,1610612764,106,95,20161112
0021600134,1610612745,1610612759,100,106,20161112
0021600135,1610612750,1610612746,105,119,20161112
0021600136,1610612748,1610612762,91,102,20161112
0021600137,1610612749,1610612763,106,96,20161112
0021600138,1610612743,1610612765,95,106,20161112
0021600139,1610612756,1610612751,104,122,20161112
0021600140,1610612739,1610612766,100,93,20161113
0021600141,1610612760,1610612753,117,119,20161113
