Draft,Year,Rnd,DT,OvPck,RdPck,Tm,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G,W,L,ERA,WHIP,SV,Type,Drafted Out of
jansec,1969,7,1sc,143,8,Angels,N,,Lawrence Schutzius,OF,,,,,,,,,,,,,4Yr,Colorado Mesa University (Grand Junction, CO)
jansec,1969,8,1sc,152,4,Angels,N,,Kenneth Pfau,RHP,,,,,,,,,,,,,,
jansec,1969,9,1sc,158,3,Angels,N,,Dale Davis,LHP,,,,,,,,,,,,,JC,San Diego City College (San Diego, CA)
jansec,1969,10,1sc,164,3,Angels,N,,William Kendall,3B,,,,,,,,,,,,,4Yr,University of Minnesota (Minneapolis, MN)
janreg,1969,1,1rg,4,4,Angels,N,,Randall Bayer,1B,,,,,,,,,,,,,JC,Mesa Community College (Mesa, AZ)
janreg,1969,2,1rg,28,4,Angels,N,,Robert Singer,OF,,,,,,,,,,,,,4Yr,University of Nebraska-Lincoln (Lincoln, NE)
janreg,1969,3,1rg,52,4,Angels,Y,,Terry Logan,1B,,,,,,,,,,,,,JC,Panola College (Carthage, TX)
janreg,1969,4,1rg,75,3,Angels,N,,William Thomas,3B,,,,,,,,,,,,,4Yr,Menlo College (Atherton, CA)
janreg,1969,5,1rg,97,2,Angels,N,,John Andrews,OF,0.0,16,2,0,.500,1.000,16,1,1,4.42,1.47,0,JC,Pasadena City College (Pasadena, CA)
janreg,1969,6,1rg,116,2,Angels,N,,Gary McEwen,LHP,,,,,,,,,,,,,,
janreg,1969,7,1rg,135,2,Angels,N,,Robert Wolf,RHP,,,,,,,,,,,,,JC,Cerritos College (Norwalk, CA)
janreg,1969,8,1rg,147,2,Angels,N,,Ray Leavitt,OF,,,,,,,,,,,,,JC,Cerritos College (Norwalk, CA)
janreg,1969,9,1rg,159,2,Angels,N,,Thor Skogan,OF,,,,,,,,,,,,,JC,Sierra College (Rocklin, CA)
janreg,1969,10,1rg,168,2,Angels,N,,Donald Pfister,C,,,,,,,,,,,,,JC,Pasadena City College (Pasadena, CA)
janreg,1969,11,1rg,173,1,Angels,N,,Dwight Johnson,OF,,,,,,,,,,,,,JC,DeAnza College (Cupertino, CA)
janreg,1969,12,1rg,177,1,Angels,N,,Kent Calderan,SS,,,,,,,,,,,,,JC,Chabot College (Hayward, CA)
janreg,1969,13,1rg,179,1,Angels,N,,Bruce Rosenthal,C,,,,,,,,,,,,,JC,Pasadena City College (Pasadena, CA)
janreg,1969,14,1rg,180,1,Angels,Y,,Terry Tulley,RHP,,,,,,,,,,,,,JC,Chaffey College (Rancho Cucamonga, CA)
junsec,1969,1,6sc,23,23,Angels,N,,Robert Beach,RHP,,,,,,,,,,,,,JC,Cabrillo College (Aptos, CA)
junsec,1969,2,6sc,46,22,Angels,Y,,Bruce Heinbechner,LHP,,,,,,,,,,,,,JC,Los Angeles Pierce College (Woodland Hills, CA)
junsec,1969,3,6sc,69,22,Angels,Y,,Charlie Jones,LHP,,,,,,,,,,,,,4Yr,Grambling State University (Grambling, LA)
jansec,1970,1,1sc,7,7,Angels,Y,,John Doherty,OF,-0.5,104,317,4,.240,.612,,,,,,,,
jansec,1970,2,1sc,31,7,Angels,N,,Gary Granville,OF,,,,,,,,,,,,,JC,El Camino College (Torrance, CA)
jansec,1970,3,1sc,55,7,Angels,N,,Robert Beyn,RHP,,,,,,,,,,,,,JC,Taft College (Taft, CA)
jansec,1970,4,1sc,80,8,Angels,N,,Sherwood Hahn,1B,,,,,,,,,,,,,4Yr,Virginia Polytechnic Institute and State University (Blacksburg, VA)
jansec,1970,5,1sc,105,8,Angels,Y,,Tom Lundgren,LHP,,,,,,,,,,,,,4Yr,University of Missouri (Columbia, MO)
jansec,1970,6,1sc,123,6,Angels,N,,Walter Sumner,OF,,,,,,,,,,,,,4Yr,Florida State University (Tallahassee, FL)
jansec,1970,7,1sc,136,6,Angels,Y,,Buck Darrow,2B,,,,,,,,,,,,,JC,Long Beach City College (Long Beach, CA)
janreg,1970,1,1rg,9,9,Angels,N,,Paul Sands,RHP,,,,,,,,,,,,,HS,Lakewood HS (Lakewood, CA)
janreg,1970,2,1rg,33,9,Angels,Y,,Morris Nettles,OF,0.5,168,469,0,.247,.589,,,,,,,HS,Venice HS (Los Angeles, CA)
