player_id,game_id,team_id,fga,fgm,3pa,3pm,fta,ftm,points,off_rebounds,def_rebounds,assists,turnovers,blocks,steals,fouls
203926,0011600005,1610612741,10,5,0,3,3,4,13,1,4,1,2,0,1,4
1626170,0011600005,1610612741,4,3,1,1,0,0,7,0,0,2,2,0,0,2
202703,0011600005,1610612741,7,1,0,3,0,0,2,1,2,1,2,1,1,1
1626171,0011600005,1610612741,8,2,1,3,1,2,6,0,9,3,1,0,1,2
1627756,0011600005,1610612741,5,2,0,2,0,0,4,0,1,2,1,0,0,1
203503,0011600005,1610612741,7,4,0,1,2,2,10,1,3,0,0,1,0,1
203477,0011600005,1610612741,5,1,0,3,0,0,2,0,0,1,0,0,0,1
1626245,0011600005,1610612741,2,2,0,0,0,2,4,0,0,0,1,0,1,2
203915,0011600005,1610612741,1,1,0,0,1,1,3,0,0,1,2,0,1,0
1627835,0011600005,1610612741,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1626209,0011600006,1610612753,5,1,1,5,0,0,3,1,2,0,4,0,1,1
202687,0011600006,1610612753,3,2,0,0,1,4,5,1,9,0,1,0,0,2
202696,0011600006,1610612753,12,4,1,2,2,2,11,1,8,5,1,0,1,3
203095,0011600006,1610612753,9,7,3,5,1,1,18,0,0,2,3,0,1,2
201571,0011600006,1610612753,4,1,1,2,2,2,5,0,1,2,4,0,0,1
204014,0011600006,1610612753,3,3,2,2,0,0,8,0,2,1,1,0,0,1
201145,0011600006,1610612753,8,2,1,2,0,0,5,0,1,1,2,0,0,3
201228,0011600006,1610612753,3,3,1,1,3,3,10,0,1,3,2,0,1,4
203912,0011600006,1610612753,8,3,1,3,0,0,7,1,0,2,2,0,1,2
1627757,0011600006,1610612753,6,3,0,0,2,2,8,0,2,1,1,0,0,3
202620,0011600006,1610612753,1,1,0,0,2,4,4,0,1,0,2,0,0,2
203910,0011600006,1610612753,6,1,0,2,3,5,5,1,2,2,0,0,0,0
203122,0011600006,1610612753,0,0,0,0,0,0,0,0,1,0,0,0,0,2
1626183,0011600006,1610612753,4,3,0,0,0,0,6,0,1,0,0,0,1,1
1626146,0011600006,1610612753,1,1,0,0,0,2,2,0,1,0,0,0,0,1
203516,0011600006,1610612763,2,2,1,1,3,4,8,1,4,1,0,0,2,3
203210,0011600006,1610612763,4,2,0,2,2,2,6,2,2,0,0,0,1,6
201188,0011600006,1610612763,11,5,0,2,0,0,10,0,2,1,2,0,0,1
203584,0011600006,1610612763,2,0,0,1,0,0,0,0,0,0,0,0,0,0
201144,0011600006,1610612763,7,3,0,2,4,5,10,0,0,2,0,0,3,1
1713,0011600006,1610612763,4,1,1,4,2,2,5,0,2,0,0,0,0,0
1627735,0011600006,1610612763,5,5,1,1,4,6,15,0,2,4,5,0,0,3
2216,0011600006,1610612763,4,1,0,1,0,0,2,0,5,1,1,0,1,2
201148,0011600006,1610612763,6,4,0,0,2,2,10,0,3,0,0,0,2,1
1626150,0011600006,1610612763,6,3,1,2,4,6,11,0,1,6,1,0,0,1
1626185,0011600006,1610612763,7,2,0,1,5,8,9,1,2,1,1,0,0,6
203474,0011600006,1610612763,5,3,0,1,2,2,8,1,4,1,1,0,1,0
1627786,0011600006,1610612763,5,1,0,3,1,2,3,0,2,0,0,1,1,2
1627782,0011600006,1610612763,4,2,1,3,0,0,5,0,4,2,2,0,0,1
204039,0011600006,1610612763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203077,0011600009,1610612766,8,3,0,1,2,4,8,1,4,0,1,0,1,2
101107,0011600009,1610612766,10,4,0,4,0,0,8,1,4,1,0,1,0,1
201579,0011600009,1610612766,3,1,0,0,8,10,10,3,5,0,2,0,0,2
201587,0011600009,1610612766,6,3,2,3,1,3,9,0,4,1,2,1,0,1
201196,0011600009,1610612766,8,0,0,3,3,4,3,1,1,4,3,0,0,1
1626163,0011600009,1610612766,12,4,0,4,5,6,13,1,6,0,1,0,1,3
201150,0011600009,1610612766,8,2,1,2,0,0,5,2,4,4,0,0,0,2
201158,0011600009,1610612766,8,3,0,0,1,1,7,0,0,1,0,0,0,1
1627882,0011600009,1610612766,2,2,1,1,5,6,10,0,2,1,1,0,0,2
